quantity,value
replication_trials,20
softmax_order_median,0.9596
softmax_order_min,0.9191
softmax_order_max,0.9819
gk_order_median,1.9578
gk_order_min,1.8875
gk_order_max,1.9791
order_gain_min,0.9481
order_gain_median,0.9993
ablation_best_tau,0.2274
ablation_static_order,1.0926
true_gk_order,1.9586
ablation_err_ratio_at_min_eps,8.8
lowrank_ranks_r1_to_r5,1 2 3 4 5
generic_rank_N10_m6,5
generic_rank_bound_min_N_mminus1,5
K_relative_asymmetry,0.0173
K_vs_brute_force_max_err,4.146e-06
order_correct_index,1.9364
order_transposed_index,1.5796
start_point_mass_stationary_form_order,0.9682
start_point_mass_general_form_order,1.9632
start_point_mass_extra_term_max,1.663e-01
start_stationary_stationary_form_order,1.9557
start_stationary_general_form_order,1.9557
start_stationary_extra_term_max,7.286e-17
exp07_K_asymmetry_abs,0.1392
exp07_K_max_abs,0.6030
exp07_K_relative_asymmetry,0.2308
subsets_swept,1013
subset_worst_softmax_err,3.059e-03
subset_worst_gk_err,4.361e-04
subsets_where_gk_worse,1
subset_gk_order_min,1.9154
subset_gk_order_max,2.0012
subset_softmax_order_min,0.4015
subset_softmax_order_max,1.0423
prop_hazards_worst_pointwise_dev,5.468e-14
