method,s,seconds,acc,nll_gauss,nll_soft,ece_gauss,ece_soft
nll_exact,0.5,33.9,0.8709,0.3884,0.6138,0.0106,0.2399
nll_exact,1.0,34.0,0.8740,0.3779,0.3910,0.0138,0.0558
