block_size,model,mean_tv,max_tv
1,Harville (trajectory p),0.036891,0.044357
2,Harville (trajectory p),0.052354,0.067769
3,Harville (trajectory p),0.070516,0.084437
1,empirical M (first transitions),0.023014,0.024583
2,empirical M (first transitions),0.020674,0.025791
3,empirical M (first transitions),0.020806,0.023964
1,empirical M (all pairs),0.024004,0.028285
2,empirical M (all pairs),0.025774,0.032017
3,empirical M (all pairs),0.029788,0.040161
1,hybrid: traj. p + M_geo (ring start),0.022059,0.025779
2,hybrid: traj. p + M_geo (ring start),0.020069,0.025289
3,hybrid: traj. p + M_geo (ring start),0.018422,0.022865
1,hybrid: traj. p + M_geo (entry profile),0.022115,0.025813
2,hybrid: traj. p + M_geo (entry profile),0.020111,0.025323
3,hybrid: traj. p + M_geo (entry profile),0.018486,0.022638
1,pure geometry (p_geo + M_prof),0.032178,0.036083
2,pure geometry (p_geo + M_prof),0.029938,0.035375
3,pure geometry (p_geo + M_prof),0.027708,0.033331
,p_geo_vs_p_hat,0.012267
,M_geo_vs_M_first,0.069616
,M_prof_vs_M_first,0.064905
,ring_vs_profile,0.014640
