N,rm,rs,r,max_err_vs_exact,seconds,exact_seconds
1000,16,8,128,4.127e-03,0.031,4.216
1000,32,12,384,2.691e-05,0.107,4.216
1000,48,14,672,1.566e-07,0.215,4.216
1000,64,16,1024,1.042e-09,0.372,4.216
5000,16,8,128,2.441e-01,0.396,38.372
5000,32,12,384,6.109e-05,0.859,38.372
5000,48,14,672,6.286e-07,1.303,38.372
5000,64,16,1024,9.126e-09,1.727,38.372
