part,quantity,value
anchor,gumbel_softmax,2.776e-17
A,gamma0.5_k1_seconds,0.03
A,gamma0.5_k2_seconds,0.29
A,gamma0.5_k3_seconds,2.29
A,gamma0.5_k5_seconds,14.31
A,gamma0.5_k8_seconds,14.33
A,gamma0.5_ghk1e3_seconds,0.08
A,gamma0.5_ghk1e4_seconds,0.54
A,gamma0.5_k1,2.286e-03
A,gamma0.5_k2,4.064e-03
A,gamma0.5_k3,3.432e-03
A,gamma0.5_k5,3.189e-03
A,gamma0.5_k8,1.751e-03
A,gamma0.5_ghk1e3,8.006e-03
A,gamma0.5_ghk1e4,3.195e-03
A,gamma1.5_k1_seconds,0.03
A,gamma1.5_k2_seconds,0.26
A,gamma1.5_k3_seconds,2.29
A,gamma1.5_k5_seconds,14.18
A,gamma1.5_k8_seconds,15.51
A,gamma1.5_ghk1e3_seconds,0.08
A,gamma1.5_ghk1e4_seconds,0.61
A,gamma1.5_k1,1.954e-02
A,gamma1.5_k2,9.097e-03
A,gamma1.5_k3,6.236e-03
A,gamma1.5_k5,5.270e-03
A,gamma1.5_k8,2.344e-03
A,gamma1.5_ghk1e3,1.310e-02
A,gamma1.5_ghk1e4,3.386e-03
A,gamma3.0_k1_seconds,0.03
A,gamma3.0_k2_seconds,0.29
A,gamma3.0_k3_seconds,2.40
A,gamma3.0_k5_seconds,13.75
A,gamma3.0_k8_seconds,13.43
A,gamma3.0_ghk1e3_seconds,0.09
A,gamma3.0_ghk1e4_seconds,0.65
A,gamma3.0_k1,4.270e-02
A,gamma3.0_k2,1.654e-02
A,gamma3.0_k3,1.452e-02
A,gamma3.0_k5,3.530e-03
A,gamma3.0_k8,1.500e-03
A,gamma3.0_ghk1e3,2.211e-02
A,gamma3.0_ghk1e4,4.136e-03
B,calib_residual_mixedlogit,4.933e-11
B,calib_residual_probit,1.073e-09
B,n_blocks_big,1
B,n_blocks_mid,4
B,plain logit (IIA)_massfrac_big,0.159
B,plain logit (IIA)_massfrac_mid,0.257
B,plain logit (IIA)_singles,0.00969
B,plain logit (IIA)_pairs,0.00246
B,factor mixed logit_massfrac_big,0.077
B,factor mixed logit_massfrac_mid,0.171
B,factor mixed logit_singles,0.00521
B,factor mixed logit_pairs,0.00225
B,factor probit_massfrac_big,0.028
B,factor probit_massfrac_mid,0.078
B,factor probit_singles,0.00258
B,factor probit_pairs,0.00159
