quantity,value
A_eps0.02_rank,24
A_eps0.02_cosine,0.996576
A_eps0.02_one_minus_cos_over_eps2,8.560
A_eps0.01_rank,24
A_eps0.01_cosine,0.999148
A_eps0.01_one_minus_cos_over_eps2,8.520
A_eps0.005_rank,24
A_eps0.005_cosine,0.999788
A_eps0.005_one_minus_cos_over_eps2,8.472
B_eps0.04_rank,24
B_eps0.04_rel_err,0.0592
B_eps0.04_rel_err_over_eps,1.479
B_eps0.02_rank,24
B_eps0.02_rel_err,0.0306
B_eps0.02_rel_err_over_eps,1.528
B_eps0.01_rank,24
B_eps0.01_rel_err,0.0155
B_eps0.01_rel_err_over_eps,1.553
C_eps0.04_khat_over_scale,2.30e-14
C_eps0.01_khat_over_scale,3.72e-13
D_10000_races_med_rel_err,12.811
D_100000_races_med_rel_err,3.423
D_1000000_races_med_rel_err,1.155
D_10000000_races_med_rel_err,0.344
