quantity,value
N2_detailed_balance_defect,5.55e-17
N2_K_asymmetry_reversible,3.73e-17
N2_gauge_dim_antisym,1
N2_invariants,0
N2_invariants_reversible_max,0.00e+00
N3_detailed_balance_defect,2.78e-17
N3_K_asymmetry_reversible,3.18e-17
N3_gauge_dim_antisym,2
N3_invariants,1
N3_invariants_reversible_max,2.22e-19
N4_detailed_balance_defect,2.78e-17
N4_K_asymmetry_reversible,6.26e-17
N4_gauge_dim_antisym,3
N4_invariants,3
N4_invariants_reversible_max,1.18e-18
N5_detailed_balance_defect,5.55e-17
N5_K_asymmetry_reversible,1.12e-16
N5_gauge_dim_antisym,4
N5_invariants,6
N5_invariants_reversible_max,3.02e-18
witness_drive_0.0,-0.000000
witness_drive_0.1,-0.000364
witness_drive_0.3,-0.001015
witness_drive_1.0,-0.002685
witness_drive_3.0,-0.004625
witness_class_invariance,3.33e-16
