quantity,value
N,5
identified_dim,19
predicted_identified_dim,19
nullity,6
null_family_dim,6
worst_null_residual,8.539e-18
heldout_err_softmax_only,1.193e-03
heldout_err_true_K,4.281e-05
heldout_err_10000_races,7.888e-03
heldout_err_100000_races,2.253e-03
heldout_err_1000000_races,7.160e-04
heldout_err_10000000_races,2.261e-04
identified_part_recovery_err,2.697e-02
identified_part_norm,1.214e-01
rank_all_blocked_experiments,19
rank_full_set_winner_only,4
rank_full_set_with_runner_up,19
